Dataset,Model,Songpath,PPT_TempoRange,Track_MeanTempo,F1-ori,P-ori,R-ori,F1-max,P-max,R-max,best_annshifts,F1 improve
ASAP,RDB_SPPK,Bach_Fugue_bwv_860_TuanS01M.wav,30-300,61.382,0.476,0.321,0.919,0.476,0.321,0.919,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Chopin_Ballades_1_Zhou06M.wav,30-300,73.291,0.516,0.458,0.591,0.522,0.463,0.597,"-30, -60",0.005
ASAP,RDB_SPPK,Rachmaninoff_Preludes_op_23_6_Nikiforov14M.wav,30-300,63.149,0.514,0.419,0.663,0.518,0.423,0.669,"-10, -20, -30, -40, -50, -60",0.005
ASAP,RDB_SPPK,Chopin_Etudes_op_10_8_Rizikov03M.wav,30-300,154.645,0.805,0.931,0.709,0.826,0.955,0.728,40,0.021
ASAP,RDB_SPPK,Bach_Fugue_bwv_891_Duepree06M.wav,30-300,85.011,0.671,0.505,1.000,0.671,0.505,1.000,"-10, -20, -30, -40, -50, -60, 0",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_854_LuA01M.wav,30-300,103.029,0.773,0.637,0.982,0.773,0.637,0.982,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_2_FaB06M.wav,30-300,185.466,0.622,0.943,0.465,0.624,0.945,0.466,"-10, -20, 10, 20",0.002
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_ZhangW01M.wav,30-300,148.256,0.789,0.935,0.682,0.790,0.936,0.683,"-20, -30",0.001
ASAP,RDB_SPPK,Schumann_Arabeske_ParkS15M.wav,30-300,69.675,0.627,0.629,0.625,0.649,0.651,0.647,"-40, -50",0.022
ASAP,RDB_SPPK,Bach_Fugue_bwv_876_SirajA01M.wav,30-300,75.946,0.766,0.635,0.964,0.771,0.640,0.971,"-30, -40, -50, -60",0.006
ASAP,RDB_SPPK,Schubert_Piano_Sonatas_664-1_BuiJL06M.wav,30-300,93.684,0.780,0.780,0.780,0.784,0.784,0.784,"-20, -30, -40",0.004
ASAP,RDB_SPPK,Bach_Prelude_bwv_854_Ozaki01M.wav,30-300,67.165,0.503,0.340,0.968,0.503,0.340,0.968,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_857_Bult-ItoS02M.wav,30-300,52.063,0.492,0.339,0.894,0.492,0.339,0.894,"-10, -20, 0, 10, 20",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_884_LiA01M.wav,30-300,125.949,0.760,0.626,0.965,0.760,0.626,0.965,"-10, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_893_Levitsky04M.wav,30-300,207.148,1.000,1.000,1.000,1.000,1.000,1.000,"-10, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-1_Na06M.wav,30-300,58.184,0.585,0.443,0.861,0.589,0.446,0.867,-30,0.004
ASAP,RDB_SPPK,Chopin_Berceuse_op_57_Teo11M.wav,30-300,28.582,0.338,0.211,0.856,0.338,0.211,0.856,0,0.000
ASAP,RDB_SPPK,Chopin_Ballades_1_Sladek04M.wav,30-300,78.597,0.516,0.453,0.597,0.523,0.460,0.606,-50,0.008
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-3_4_Na06M.wav,30-300,52.615,0.556,0.412,0.854,0.557,0.413,0.856,-10,0.001
ASAP,RDB_SPPK,Bach_Prelude_bwv_885_SINKEV06.wav,30-300,30.991,0.028,0.019,0.060,0.392,0.257,0.821,"-1070, -1080, -1090, -1100, -1110, -1120, -1130, -1140, -1150",0.364
ASAP,RDB_SPPK,Bach_Fugue_bwv_860_Ko04M.wav,30-300,62.309,0.504,0.337,0.994,0.504,0.337,0.994,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_863_TongB01M.wav,30-300,57.292,0.672,0.506,1.000,0.672,0.506,1.000,"-10, -20, 0, 10",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_875_HONG04M.wav,30-300,126.944,0.715,0.576,0.945,0.715,0.576,0.945,"-10, -20, -30, -40, -50, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Chopin_Ballades_4_Mizumoto02M.wav,30-300,44.481,0.450,0.331,0.704,0.457,0.336,0.714,"-30, -40",0.007
ASAP,RDB_SPPK,Bach_Fugue_bwv_885_Guo01M.wav,30-300,97.399,0.671,0.513,0.972,0.674,0.515,0.976,"30, 40",0.003
ASAP,RDB_SPPK,Chopin_Etudes_op_10_4_ZhangE03M.wav,30-300,178.047,0.886,0.957,0.825,0.886,0.957,0.825,"-10, -20, -30, 0",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_885_Huang04M.wav,30-300,32.775,0.537,0.388,0.869,0.537,0.388,0.869,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_KaiRuiR02M.wav,30-300,145.622,0.704,0.865,0.593,0.704,0.866,0.594,"-10, -20, -30, -40",0.001
ASAP,RDB_SPPK,Chopin_Ballades_2_Denisova17M.wav,30-300,72.323,0.622,0.560,0.701,0.622,0.560,0.701,"-10, -20, -50, 0",0.000
ASAP,RDB_SPPK,Scriabin_Sonatas_5_Na07M.wav,30-300,85.313,0.545,0.489,0.615,0.547,0.491,0.617,"10, 20",0.002
ASAP,RDB_SPPK,Scriabin_Etudes_op_8_11_Shi08M.wav,30-300,33.283,0.490,0.351,0.806,0.490,0.351,0.806,"-10, -20, -30, -40, 0",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_893_Kleisen04M.wav,30-300,61.546,0.608,0.452,0.931,0.608,0.452,0.931,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_885_Guo01M.wav,30-300,34.832,0.505,0.342,0.964,0.505,0.342,0.964,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_4_LiuC04M.wav,30-300,104.316,0.545,0.642,0.474,0.552,0.650,0.479,-50,0.007
ASAP,RDB_SPPK,Bach_Fugue_bwv_887_LiYZ01M.wav,30-300,48.569,0.504,0.336,1.000,0.504,0.336,1.000,"-10, -20, -30, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_870_MaximovI01M.wav,30-300,121.101,0.944,0.968,0.921,0.950,0.974,0.927,"-20, -30, -40, -50",0.006
ASAP,RDB_SPPK,Schubert_Piano_Sonatas_664-1_KabuliL10M.wav,30-300,100.501,0.800,0.798,0.803,0.800,0.798,0.803,"-10, -20, -30, 0",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_893_Wong01M.wav,30-300,175.509,0.956,0.976,0.937,0.963,0.983,0.943,"-10, -20",0.007
ASAP,RDB_SPPK,Liszt_Concert_Etude_S145_2_Lu03M.wav,30-300,146.918,0.726,0.747,0.706,0.742,0.764,0.721,50,0.016
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_LeeN02M.wav,30-300,149.477,0.788,0.908,0.696,0.794,0.915,0.701,20,0.006
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_18-4_ChenGuang06M.wav,30-300,177.034,0.816,0.968,0.705,0.820,0.973,0.708,-50,0.004
ASAP,RDB_SPPK,Chopin_Ballades_2_Gasanov08M.wav,30-300,57.471,0.609,0.487,0.811,0.615,0.492,0.819,"-30, -40, -50",0.006
ASAP,RDB_SPPK,Liszt_Ballade_2_GarritsonL04M.wav,30-300,79.803,0.378,0.489,0.308,0.393,0.508,0.320,"-20, -40, -50",0.015
ASAP,RDB_SPPK,Liszt_Concert_Etude_S145_2_Tario06M.wav,30-300,135.479,0.605,0.752,0.507,0.609,0.756,0.509,"-10, -20, 30",0.003
ASAP,RDB_SPPK,Chopin_Scherzos_31_HuNY08M.wav,30-300,242.859,0.518,0.947,0.357,0.521,0.952,0.359,"10, 30",0.003
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_MunA08M.wav,30-300,65.396,0.416,0.287,0.757,0.429,0.296,0.782,30,0.014
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_32-1_Jussow06M.wav,30-300,92.045,0.710,0.741,0.682,0.719,0.750,0.690,-40,0.009
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_39-3_Yarden07M.wav,30-300,115.891,0.586,0.481,0.747,0.586,0.481,0.747,0,0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_23-1_Yi02M.wav,30-300,111.759,0.672,0.779,0.592,0.681,0.789,0.599,-50,0.009
ASAP,RDB_SPPK,Bach_Fugue_bwv_848_Denisova06M.wav,30-300,119.675,0.843,0.764,0.940,0.851,0.772,0.949,40,0.008
ASAP,RDB_SPPK,Bach_Fugue_bwv_864_SunD01M.wav,30-300,67.254,0.493,0.336,0.931,0.493,0.336,0.931,"-10, -20, -30, -40, -50, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_50-1_no_repeat_KARYAG06M.wav,30-300,118.897,0.692,0.624,0.776,0.699,0.631,0.785,-60,0.007
ASAP,RDB_SPPK,Bach_Prelude_bwv_860_ZhangH04M.wav,30-300,186.348,0.890,0.992,0.807,0.890,0.992,0.807,"-10, -20, -30, -40, -50, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Chopin_Etudes_op_10_1_YeF03M.wav,30-300,172.103,0.458,0.931,0.304,0.463,0.941,0.307,"30, 40",0.005
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-3_YOO05M.wav,30-300,117.091,0.708,0.761,0.663,0.714,0.767,0.668,-30,0.006
ASAP,RDB_SPPK,Chopin_Scherzos_31_ChenW04M.wav,30-300,227.091,0.506,0.911,0.351,0.515,0.927,0.357,30,0.009
ASAP,RDB_SPPK,Chopin_Etudes_op_25_1_Wong03M.wav,30-300,87.161,0.770,0.870,0.691,0.770,0.870,0.691,"-10, -20, -30, -40, 0, 10, 20",0.000
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_ZhangH07M.wav,30-300,63.793,0.443,0.321,0.718,0.446,0.322,0.722,"30, 40",0.002
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_Sham02M.wav,30-300,107.468,0.819,0.916,0.740,0.830,0.929,0.751,20,0.012
ASAP,RDB_SPPK,Bach_Fugue_bwv_889_Wang01M.wav,30-300,73.431,0.665,0.502,0.982,0.665,0.502,0.982,"-10, -20, -30, 0, 10, 20",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_26-1_no_repeat_Kim02M.wav,30-300,175.540,0.678,0.904,0.542,0.679,0.905,0.543,"10, 20",0.001
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_27-1_GiacomelliN04M.wav,30-300,138.823,0.756,0.908,0.647,0.757,0.910,0.649,"-20, -30, -40",0.002
ASAP,RDB_SPPK,Chopin_Sonata_3_4th_KimSJ10M.wav,30-300,101.543,0.623,0.661,0.588,0.627,0.665,0.592,10,0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_7-1_LeeS02M.wav,30-300,137.526,0.555,0.565,0.545,0.556,0.566,0.547,-50,0.001
ASAP,RDB_SPPK,Bach_Fugue_bwv_848_Lee01M.wav,30-300,105.344,0.689,0.527,0.995,0.689,0.527,0.995,"-10, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_Lin04M.wav,30-300,262.358,0.780,0.995,0.642,0.784,1.000,0.645,"-50, -60",0.004
ASAP,RDB_SPPK,Chopin_Etudes_op_10_2_JeonH02M.wav,30-300,147.748,0.987,0.990,0.984,0.987,0.990,0.984,"-10, -20, -30, -40, -50, 0, 10, 20",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_28-1_WangY04M.wav,30-300,52.212,0.525,0.426,0.686,0.533,0.432,0.696,"-10, -20, -30",0.008
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_30-1_MaslovV02M.wav,30-300,58.943,0.629,0.546,0.741,0.629,0.546,0.741,"-10, -20, -30, -40, -50, -60, -70, 0",0.000
ASAP,RDB_SPPK,Chopin_Berceuse_op_57_ZhangE09M.wav,30-300,32.022,0.418,0.278,0.842,0.418,0.278,0.842,"0, 10, 20",0.000
ASAP,RDB_SPPK,Chopin_Etudes_op_25_10_WangA03M.wav,30-300,102.621,0.632,0.658,0.608,0.653,0.679,0.628,-60,0.021
ASAP,RDB_SPPK,Schubert_Impromptu_op142_3_YoungS06M.wav,30-300,37.902,0.421,0.284,0.819,0.422,0.284,0.821,"-10, -20, -40",0.001
ASAP,RDB_SPPK,Liszt_Mephisto_Waltz_ChernovA04M.wav,30-300,229.019,0.512,0.865,0.363,0.513,0.867,0.364,"-20, -30",0.002
ASAP,RDB_SPPK,Chopin_Ballades_1_KimSuyeon04M.wav,30-300,74.856,0.465,0.405,0.545,0.477,0.415,0.559,-50,0.012
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_TongB03M.wav,30-300,144.316,0.685,0.861,0.568,0.686,0.862,0.569,-10,0.001
ASAP,RDB_SPPK,Bach_Prelude_bwv_891_Duepree06M.wav,30-300,71.582,0.647,0.481,0.988,0.647,0.481,0.988,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40, 430",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_873_Lisiecki13M.wav,30-300,143.537,0.979,0.979,0.979,0.979,0.979,0.979,"-10, -20, -30, -40, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-3_4_AbdelmoulaJS05M.wav,30-300,55.619,0.547,0.421,0.780,0.548,0.422,0.782,"-20, -30, -50",0.001
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_17-1_KaszoS09M.wav,30-300,149.257,0.724,0.942,0.588,0.726,0.945,0.590,"-20, 10",0.002
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_46-1_WongWY02M.wav,30-300,74.366,0.574,0.441,0.821,0.580,0.446,0.830,30,0.006
ASAP,RDB_SPPK,Bach_Prelude_bwv_876_SirajA01M.wav,30-300,99.277,0.455,0.347,0.660,0.455,0.347,0.660,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_SunY02M.wav,30-300,150.687,0.691,0.894,0.563,0.692,0.896,0.563,"-50, 10, 20",0.001
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_48-2_PrjevalskayaM03M.wav,30-300,149.883,0.948,1.000,0.901,0.948,1.000,0.901,"-10, -20, -30, -40, -50, 0, 10, 20",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_860_ZhangH04M.wav,30-300,63.282,0.492,0.333,0.948,0.495,0.335,0.953,"300, 310, 320, 330",0.003
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_4_no_repeat_Lin11M.wav,30-300,144.481,0.798,0.948,0.689,0.802,0.953,0.693,-40,0.004
ASAP,RDB_SPPK,Chopin_Sonata_2_4th_KaszoS16M.wav,30-300,231.655,0.130,0.710,0.072,0.142,0.774,0.078,"-40, -50, -60, 30, 40",0.012
ASAP,RDB_SPPK,Bach_Prelude_bwv_860_Tetzloff04M.wav,30-300,185.072,0.790,0.951,0.676,0.798,0.961,0.683,"-40, -50, -60",0.008
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_27-2_GiacomelliN05M.wav,30-300,80.228,0.664,0.561,0.814,0.664,0.561,0.814,"0, 20",0.000
ASAP,RDB_SPPK,Debussy_Images_Book_1_1_Reflets_dans_lEau_ParkJH13M.wav,30-300,74.997,0.541,0.590,0.499,0.547,0.597,0.504,"-20, -30, -40, -50, -60",0.006
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_10_CaoJ03M.wav,30-300,82.899,0.531,0.456,0.637,0.545,0.468,0.653,30,0.014
ASAP,RDB_SPPK,Mozart_Piano_Sonatas_12-1_WuuE02M.wav,30-300,140.867,0.957,0.979,0.936,0.958,0.980,0.937,"-20, -30, 10, 20",0.001
ASAP,RDB_SPPK,Schubert_Wanderer_fantasie_Larionova05M.wav,30-300,114.663,0.700,0.725,0.676,0.707,0.733,0.683,"-50, -60",0.007
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_LEE_K04M.wav,30-300,61.210,0.366,0.513,0.284,0.370,0.519,0.287,-10,0.004
ASAP,RDB_SPPK,Bach_Fugue_bwv_889_Giesbrecht01M.wav,30-300,71.309,0.669,0.507,0.982,0.669,0.507,0.982,"-10, -20, -30, -40, -50, 0, 10, 20",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_2_Denisova11M.wav,30-300,229.005,0.491,0.996,0.325,0.491,0.996,0.325,"-10, -20, -30, 0, 10, 20, 40",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_Ko08M.wav,30-300,55.488,0.465,0.596,0.381,0.465,0.596,0.381,"-10, 0, 10",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_9-1_Tysman05M.wav,30-300,147.160,0.579,0.534,0.632,0.580,0.535,0.633,"-50, -60",0.001
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_3-1_CaoJ02M.wav,30-300,142.029,0.907,0.972,0.850,0.907,0.972,0.850,"-10, -20, -30, -40, -50, 0, 10, 20",0.000
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_KyykhynenT10M.wav,30-300,103.333,0.810,0.981,0.690,0.810,0.981,0.690,"0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_RichardsonC02M.wav,30-300,143.565,0.799,0.893,0.722,0.804,0.899,0.727,20,0.006
ASAP,RDB_SPPK,Glinka_The_Lark_Kleisen07M.wav,30-300,64.401,0.488,0.476,0.502,0.504,0.491,0.518,-60,0.016
ASAP,RDB_SPPK,Bach_Prelude_bwv_870_ChenW01M.wav,30-300,53.550,0.605,0.433,1.000,0.605,0.433,1.000,"-10, -20, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Schubert_Piano_Sonatas_894-2_no_repeat_CHEN11M.wav,30-300,70.107,0.621,0.550,0.714,0.623,0.551,0.716,-10,0.002
ASAP,RDB_SPPK,Chopin_Etudes_op_10_1_LiYZ02M.wav,30-300,169.426,0.580,0.963,0.415,0.580,0.963,0.415,"0, 10, 20, 30, 40, 50",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_24-1_no_repeat_Lou02M.wav,30-300,108.603,0.821,0.880,0.770,0.829,0.888,0.778,-60,0.008
ASAP,RDB_SPPK,Liszt_Concert_Etude_S145_1_Kleisen06M.wav,30-300,107.373,0.356,0.382,0.333,0.403,0.433,0.378,-290,0.047
ASAP,RDB_SPPK,Bach_Fugue_bwv_892_Hou01M.wav,30-300,51.006,0.567,0.396,0.995,0.567,0.396,0.995,"-10, -20, -30, -40, 0, 10, 20",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_883_GuoE01M.wav,30-300,63.218,0.663,0.501,0.978,0.663,0.501,0.978,"-10, -20, -30, 0, 10",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_885_Huang04M.wav,30-300,80.269,0.666,0.505,0.976,0.666,0.505,0.976,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_BuiJL03M.wav,30-300,61.004,0.415,0.292,0.718,0.415,0.292,0.718,0,0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_4-1_LeeE02M.wav,30-300,128.053,0.739,0.704,0.778,0.744,0.709,0.784,-60,0.005
ASAP,RDB_SPPK,Bach_Fugue_bwv_857_Lisiecki04M.wav,30-300,63.088,0.667,0.502,0.991,0.667,0.502,0.991,"-10, -20, -30, -40, -50, -60, 0, 10, 20",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_889_ZhangW02M.wav,30-300,63.009,0.638,0.473,0.977,0.638,0.473,0.977,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_11_Huang18M.wav,30-300,62.696,0.550,0.513,0.593,0.550,0.513,0.593,0,0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-1_LeungM03M.wav,30-300,62.149,0.551,0.440,0.737,0.554,0.442,0.740,"-10, -20, -30, -40, -50, -60",0.002
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_4_Huang15M.wav,30-300,83.928,0.554,0.543,0.566,0.563,0.551,0.575,20,0.009
ASAP,RDB_SPPK,Chopin_Sonata_3_4th_KimSY23M.wav,30-300,105.837,0.615,0.602,0.629,0.615,0.602,0.629,0,0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_854_Ozaki01M.wav,30-300,115.727,0.771,0.627,1.000,0.771,0.627,1.000,"-10, -20, -30, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_848_LeeSH01M.wav,30-300,90.202,0.657,0.496,0.972,0.660,0.499,0.977,"-10, -20",0.003
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_10_Huang17M.wav,30-300,73.679,0.536,0.470,0.623,0.536,0.470,0.623,"-10, 0",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_2_Nikiforov09M.wav,30-300,185.870,0.612,0.992,0.442,0.615,0.997,0.445,-50,0.003
ASAP,RDB_SPPK,Bach_Prelude_bwv_893_Levitsky04M.wav,30-300,59.443,0.567,0.424,0.855,0.577,0.432,0.870,-480,0.010
ASAP,RDB_SPPK,Bach_Prelude_bwv_867_HuNY01M.wav,30-300,34.083,0.549,0.381,0.979,0.555,0.385,0.989,"-50, -60",0.006
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-1_HuangSW08M.wav,30-300,52.958,0.500,0.494,0.506,0.500,0.494,0.506,"-10, -20, -30, -40, 0, 10, 20",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_867_HuNY01M.wav,30-300,65.518,0.665,0.502,0.987,0.665,0.502,0.987,"-10, -20, -30, -40, -50, 0, 10, 20",0.000
ASAP,RDB_SPPK,Debussy_Pour_le_Piano_1_MunA12M.wav,30-300,133.442,0.810,0.915,0.727,0.812,0.917,0.729,-50,0.002
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_Lin07M.wav,30-300,64.400,0.425,0.300,0.729,0.446,0.314,0.764,30,0.021
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_7-1_Larionova04M.wav,30-300,136.602,0.672,0.673,0.671,0.674,0.675,0.673,20,0.003
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_4-1_Chon03M.wav,30-300,130.514,0.700,0.721,0.681,0.738,0.759,0.717,-60,0.037
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_4-1_SirajA02M.wav,30-300,130.026,0.694,0.656,0.736,0.716,0.677,0.760,-60,0.022
ASAP,RDB_SPPK,Schubert_Impromptu_op142_3_WangH06M.wav,30-300,38.233,0.424,0.288,0.803,0.424,0.288,0.803,"-10, 0",0.000
ASAP,RDB_SPPK,Chopin_Etudes_op_25_12_HouKimberly03M.wav,30-300,147.873,0.565,0.848,0.423,0.573,0.861,0.429,-40,0.008
ASAP,RDB_SPPK,Bach_Prelude_bwv_860_Ko04M.wav,30-300,187.218,0.938,1.000,0.883,0.938,1.000,0.883,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_Yang05M.wav,30-300,68.760,0.434,0.320,0.673,0.452,0.334,0.701,40,0.018
ASAP,RDB_SPPK,Chopin_Scherzos_31_ZhangW04M.wav,30-300,243.625,0.489,0.943,0.330,0.490,0.944,0.331,20,0.001
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_16-1_BuiJL02M.wav,30-300,138.525,0.534,0.643,0.457,0.643,0.774,0.549,-60,0.108
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_Zhou01M.wav,30-300,281.130,0.845,1.000,0.732,0.845,1.000,0.732,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40, 50",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_17-1_no_repeat_TuanS02M.wav,30-300,143.662,0.680,0.912,0.541,0.682,0.916,0.544,"-10, -30",0.003
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_1_LuoJ05M.wav,30-300,133.991,0.772,0.924,0.663,0.772,0.924,0.663,"-10, -20, -30, -40, -50, 0, 10, 20, 30, 40, 50",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_3-2_MiyashitaM04M.wav,30-300,22.853,0.406,0.260,0.933,0.406,0.260,0.933,"-10, -20, -30, -40, -50, -60, 0, 10",0.000
ASAP,RDB_SPPK,Liszt_Mephisto_Waltz_ChenGuang24M.wav,30-300,231.133,0.214,0.821,0.123,0.215,0.826,0.124,-10,0.001
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_Kociuban10M.wav,30-300,56.840,0.535,0.623,0.469,0.545,0.634,0.478,-30,0.010
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_7-1_Wang02M.wav,30-300,148.278,0.731,0.744,0.719,0.732,0.745,0.720,-40,0.001
ASAP,RDB_SPPK,Bach_Prelude_bwv_880_WangA04M.wav,30-300,78.149,0.683,0.521,0.991,0.683,0.521,0.991,"-10, -20, -30, -40, -50, -60, 0",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_Song03M.wav,30-300,138.919,0.875,0.932,0.825,0.882,0.940,0.832,30,0.007
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_50-1_no_repeat_Shi07M.wav,30-300,110.931,0.664,0.554,0.830,0.682,0.569,0.851,-60,0.017
ASAP,RDB_SPPK,Chopin_Ballades_4_Nikiforov13M.wav,30-300,47.270,0.450,0.353,0.619,0.451,0.355,0.621,"-20, -30",0.002
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_11-1_MaximovI02M.wav,30-300,152.776,0.332,0.229,0.606,0.333,0.229,0.607,"-10, -20, -30, -40, -50",0.001
ASAP,RDB_SPPK,Bach_Prelude_bwv_893_Wong01M.wav,30-300,54.609,0.525,0.384,0.832,0.525,0.384,0.832,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_857_WangA01M.wav,30-300,38.701,0.437,0.283,0.953,0.442,0.287,0.965,"-10, -20",0.005
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-3_4_LeungM05M.wav,30-300,55.026,0.528,0.407,0.752,0.528,0.407,0.752,"-10, -20, -30, -40, 0",0.000
ASAP,RDB_SPPK,Schumann_Toccata_repeat_WangY07M.wav,30-300,113.519,0.265,0.372,0.206,0.353,0.496,0.274,800,0.088
ASAP,RDB_SPPK,Chopin_Scherzos_20_Kurz04M.wav,30-300,223.161,0.565,0.918,0.408,0.574,0.934,0.415,-40,0.010
ASAP,RDB_SPPK,Chopin_Etudes_op_10_1_YuP02M.wav,30-300,166.914,0.691,0.960,0.540,0.695,0.966,0.543,"-10, -20, -30, -40, 40, 50",0.004
