Dataset,Model,Songpath,PPT_TempoRange,Track_MeanTempo,F1-ori,P-ori,R-ori,F1-max,P-max,R-max,best_annshifts,F1 improve
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_Richardson_2013_08M.wav,30-300,118.250,0.885,0.978,0.808,0.888,0.981,0.811,-10,0.003
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_29-4_ChowK05M.wav,30-300,109.132,0.759,0.792,0.728,0.761,0.794,0.731,-20,0.003
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_Levitsky06M.wav,30-300,62.902,0.433,0.315,0.694,0.436,0.317,0.697,"-30, -40, -50",0.002
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_28-1_KyykhynenT06M.wav,30-300,53.304,0.550,0.459,0.686,0.558,0.466,0.696,-40,0.008
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_18-1_Levitsky05M.wav,30-300,129.402,0.731,0.788,0.682,0.737,0.794,0.687,-50,0.006
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_ZhaoK10M.wav,30-300,68.997,0.641,0.669,0.616,0.641,0.669,0.616,"0, 10",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_867_Sham01M.wav,30-300,32.998,0.512,0.346,0.989,0.512,0.346,0.989,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Chopin_Ballades_1_BuiJL04M.wav,30-300,70.819,0.494,0.444,0.556,0.499,0.449,0.562,-20,0.005
ASAP,RDB_SPPK,Schumann_Kreisleriana_1_ParkJH04M.wav,30-300,83.219,0.332,0.344,0.321,0.448,0.464,0.433,"-270, -280",0.116
ASAP,RDB_SPPK,Bach_Prelude_bwv_857_YuP01M.wav,30-300,45.773,0.523,0.356,0.988,0.523,0.356,0.988,"-10, -20, -30, 0, 10, 20",0.000
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_50-1_no_repeat_YoungS02M.wav,30-300,114.543,0.708,0.629,0.810,0.715,0.636,0.818,-60,0.007
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_50-1_no_repeat_Huang05M.wav,30-300,110.575,0.704,0.663,0.750,0.704,0.663,0.750,"0, 10",0.000
ASAP,RDB_SPPK,Liszt_Mephisto_Waltz_Tysman07M.wav,30-300,243.866,0.536,0.867,0.388,0.537,0.868,0.389,10,0.001
ASAP,RDB_SPPK,Bach_Fugue_bwv_883_KaiRuiR03.wav,30-300,104.585,0.039,0.038,0.040,0.968,0.948,0.989,"-1360, -1370, -1380, -1390, -1400",0.929
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_MiyashitaM01M.wav,30-300,256.335,0.798,0.986,0.671,0.810,1.000,0.681,-60,0.012
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_7-1_ZhangE02M.wav,30-300,142.781,0.687,0.694,0.679,0.687,0.694,0.679,"-10, 0",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_Lee01M.wav,30-300,259.601,0.835,0.983,0.726,0.839,0.987,0.729,-50,0.004
